Observation_ID,Observation_Date,Create_Date,Latitude,Longitude,Elevation,Abundance_Name,Abundance_Binary
3052,9/3/2020 7:00,9/4/2020,32.146534,-110.646627,1008.0,25-49%,0
3204,9/28/2021 7:00,9/28/2021,32.230474,-110.985946,714.0,75-94%,1
2161,7/26/2019 7:00,7/29/2019,32.212656,-111.00631,947.0,75-94%,1
3048,9/1/2020 7:00,9/1/2020,32.213526,-110.806402,818.0,75-94%,1
2193,9/2/2019 7:00,9/4/2019,32.286475,-110.800464,791.0,75-94%,1
2172,7/26/2019 7:00,8/17/2019,32.215629,-110.752227,881.0,Less than 5%,0
3156,7/12/2021 7:00,7/12/2021,32.294867,-110.782801,820.0,25-49%,0
3201,9/28/2021 7:00,9/28/2021,32.250188,-110.998282,706.0,75-94%,1
3047,9/1/2020 7:00,9/1/2020,32.209196,-110.807032,819.0,95% or more,1
3053,9/3/2020 7:00,9/4/2020,32.150287,-110.641214,1038.0,50-74%,1
3077,10/5/2020 7:00,10/6/2020,32.367308,-111.113966,645.0,25-49%,0
2198,9/9/2019 7:00,9/9/2019,32.250601,-111.183137,904.0,25-49%,0
2149,7/9/2019 7:00,7/9/2019,32.230428,-110.951362,744.0,,0
3213,10/25/2021 7:00,10/25/2021,32.367273,-111.113787,645.0,25-49%,0
3177,8/2/2021 7:00,8/3/2021,32.366837,-111.11351,645.0,95% or more,1
3196,9/6/2021 7:00,9/6/2021,32.367141,-111.113793,645.0,95% or more,1
3221,11/28/2021 7:00,11/28/2021,32.208569,-110.988585,721.0,Less than 5%,0
3183,8/30/2021 7:00,8/30/2021,32.25492,-111.002879,702.0,95% or more,1
3203,9/28/2021 7:00,9/28/2021,32.230348,-110.985987,714.0,75-94%,1
3032,8/19/2020 7:00,8/19/2020,32.208587,-110.79345,841.0,Less than 5%,0
3185,8/30/2021 7:00,8/30/2021,32.224253,-110.982698,715.0,95% or more,1
3198,9/16/2021 7:00,9/16/2021,32.367414,-111.114285,647.0,95% or more,1
3051,8/13/2020 7:00,9/2/2020,32.156018,-110.721457,1030.0,Less than 5%,0
2200,9/10/2019 7:00,9/10/2019,32.20458,-110.70354,872.0,50-74%,1
3059,9/6/2020 7:00,9/6/2020,32.192137,-110.760459,897.0,5-24%,0
3013,8/3/2020 7:00,6/27/2020,32.367561,-111.114666,648.0,Less than 5%,0
3076,9/28/2020 7:00,6/27/2020,32.367561,-111.114666,648.0,50-74%,1
3034,8/24/2020 7:00,6/27/2020,32.367561,-111.114666,648.0,25-49%,0
2180,8/15/2019 7:00,8/19/2019,32.24914,-111.183429,836.0,Less than 5%,0
3075,9/21/2020 7:00,6/27/2020,32.367561,-111.114666,648.0,50-74%,1
3145,5/29/2021 7:00,5/30/2021,35.187173,-111.636427,2075.0,5-24%,0
3176,7/30/2021 7:00,7/30/2021,32.24401,-110.944529,742.0,95% or more,1
3186,8/30/2021 7:00,8/30/2021,32.211361,-110.983622,719.0,95% or more,1
3027,8/18/2020 7:00,6/27/2020,32.367561,-111.114666,648.0,,0
3159,7/15/2021 7:00,7/17/2021,32.257823,-111.106712,901.0,50-74%,1
3021,8/10/2020 7:00,6/27/2020,32.367561,-111.114666,648.0,,0
2196,9/8/2019 7:00,9/8/2019,32.227637,-110.97314,721.0,75-94%,1
3216,10/29/2021 7:00,10/29/2021,32.206927,-110.988989,715.0,Less than 5%,0
3194,8/31/2021 7:00,9/1/2021,32.366812,-111.114201,645.0,95% or more,1
3057,9/6/2020 7:00,9/6/2020,32.194235,-110.75412,908.0,5-24%,0
3020,8/5/2020 7:00,8/6/2020,32.249379,-110.944546,741.0,25-49%,0
2989,7/7/2020 7:00,7/7/2020,32.061456,-110.773856,928.0,,0
3214,10/29/2021 7:00,10/29/2021,32.237762,-110.986532,705.0,,0
3017,7/30/2020 7:00,8/6/2020,32.249379,-110.944546,741.0,25-49%,0
3193,8/30/2021 7:00,8/30/2021,32.208586,-110.798324,834.0,95% or more,1
2988,7/7/2020 7:00,7/7/2020,32.195948,-110.772812,880.0,,0
2173,7/29/2019 7:00,8/18/2019,32.215629,-110.726134,854.0,Less than 5%,0
2993,7/11/2020 7:00,7/13/2020,32.153377,-110.72255,999.0,Less than 5%,0
3070,9/11/2020 7:00,9/12/2020,32.169803,-110.677956,1450.0,25-49%,0
2230,10/21/2019 7:00,10/21/2019,32.125696,-110.842673,849.0,,0
3028,8/19/2020 7:00,8/19/2020,32.209806,-110.791613,840.0,75-94%,1
3153,7/7/2021 7:00,7/9/2021,32.209268,-110.988441,732.0,,0
2985,6/26/2020 7:00,6/27/2020,32.367561,-111.114666,648.0,Less than 5%,0
3223,9/14/2022 7:00,6/25/2020,32.227708,-110.900486,773.0,95% or more,1
3046,9/1/2020 7:00,9/1/2020,32.207474,-110.807056,821.0,Less than 5%,0
3079,8/31/2020 7:00,10/7/2020,32.249322,-110.944534,741.0,5-24%,0
3080,9/2/2020 7:00,10/7/2020,32.249322,-110.944534,741.0,5-24%,0
3207,9/28/2021 7:00,9/28/2021,32.207799,-110.988667,714.0,75-94%,1
3150,6/30/2021 7:00,6/30/2021,32.200618,-110.993437,723.0,75-94%,1
3084,10/9/2020 7:00,10/13/2020,32.15648,-110.601822,1052.0,Less than 5%,0
3082,9/15/2020 7:00,10/7/2020,32.249322,-110.944534,741.0,5-24%,0
3030,8/19/2020 7:00,8/19/2020,32.196245,-110.772919,879.0,95% or more,1
2202,9/7/2019 7:00,9/12/2019,32.213885,-110.798691,827.0,95% or more,1
3049,8/27/2020 7:00,9/2/2020,32.259028,-111.198987,779.0,Less than 5%,0
2994,7/13/2020 7:00,7/13/2020,32.367771,-111.11178,644.0,Less than 5%,0
3206,9/28/2021 7:00,6/30/2021,32.216219,-110.982425,711.0,95% or more,1
3187,8/30/2021 7:00,8/30/2021,32.208947,-110.985647,719.0,95% or more,1
3033,8/19/2020 7:00,8/19/2020,32.214485,-110.800066,825.0,Less than 5%,0
3050,8/12/2020 7:00,9/2/2020,32.257274,-111.197084,783.0,5-24%,0
3211,10/18/2021 7:00,10/18/2021,32.367154,-111.113499,645.0,25-49%,0
3208,9/28/2021 7:00,9/28/2021,32.207799,-110.988667,714.0,95% or more,1
3062,9/6/2020 7:00,9/6/2020,32.208622,-110.792093,843.0,25-49%,0
3081,9/9/2020 7:00,10/7/2020,32.249322,-110.944534,741.0,5-24%,0
3065,9/9/2020 7:00,9/9/2020,32.206086,-110.785773,854.0,25-49%,0
3170,7/22/2021 7:00,7/22/2021,32.225755,-110.84731,784.0,95% or more,1
3175,7/28/2021 7:00,7/28/2021,32.21743,-110.982566,713.0,95% or more,1
3018,7/31/2020 7:00,8/6/2020,32.249379,-110.944546,741.0,25-49%,0
3220,11/28/2021 7:00,11/28/2021,32.219952,-110.982477,716.0,5-24%,0
3195,9/2/2021 7:00,9/3/2021,32.208123,-110.799326,830.0,95% or more,1
2190,8/23/2019 7:00,8/29/2019,32.208658,-110.782439,852.0,95% or more,1
2197,9/8/2019 7:00,9/8/2019,32.235238,-110.95861,739.0,75-94%,1
3179,7/20/2021 7:00,8/14/2021,32.234431,-111.215215,708.0,95% or more,1
2178,8/17/2019 7:00,8/19/2019,32.148724,-110.601917,1020.0,95% or more,1
3178,8/9/2021 7:00,8/9/2021,32.367468,-111.114197,646.0,95% or more,1
3054,9/3/2020 7:00,9/4/2020,32.158917,-110.64615,1185.0,Less than 5%,0
3169,7/22/2021 7:00,7/22/2021,32.313175,-110.89301,848.0,95% or more,1
2160,7/28/2019 7:00,7/29/2019,32.213051,-111.005642,937.0,50-74%,1
2183,8/20/2019 7:00,8/20/2019,32.24989,-111.152941,1063.0,,0
3031,8/19/2020 7:00,8/19/2020,32.205969,-110.785518,854.0,5-24%,0
3061,9/6/2020 7:00,9/6/2020,32.191951,-110.764185,893.0,25-49%,0
2162,8/3/2019 7:00,8/3/2019,32.006853,-110.693084,1050.0,75-94%,1
2991,7/9/2020 7:00,7/9/2020,32.242833,-110.956686,740.0,,0
2986,7/1/2020 7:00,7/2/2020,32.36797,-111.11247,645.0,5-24%,0
3189,8/30/2021 7:00,8/30/2021,32.20218,-110.987803,723.0,95% or more,1
3043,8/31/2020 7:00,6/27/2020,32.367561,-111.114666,648.0,95% or more,1
3154,7/7/2021 7:00,7/9/2021,32.214333,-110.999395,761.0,,0
3167,7/22/2021 7:00,7/22/2021,32.150732,-110.789758,868.0,95% or more,1
2155,7/11/2019 7:00,7/11/2019,32.224456,-110.95003,739.0,,0
2980,6/25/2020 7:00,6/25/2020,32.227708,-110.900486,773.0,5-24%,0
3222,11/28/2021 7:00,11/28/2021,32.202816,-110.988831,721.0,50-74%,1
2999,7/16/2020 7:00,7/16/2020,32.21627,-110.800176,821.0,25-49%,0
2189,8/23/2019 7:00,8/29/2019,32.220276,-110.783813,833.0,95% or more,1
2185,8/20/2019 7:00,8/26/2019,32.485519,-110.864423,1024.0,Less than 5%,0
2987,7/6/2020 7:00,7/7/2020,32.367369,-111.11373,645.0,Less than 5%,0
2191,8/23/2019 7:00,8/29/2019,32.296736,-111.166615,857.0,Less than 5%,0
3037,8/25/2020 7:00,8/25/2020,32.196274,-110.772919,879.0,75-94%,1
2171,8/17/2019 7:00,8/17/2019,32.287636,-110.778319,812.0,25-49%,0
2211,10/4/2019 7:00,10/5/2019,32.833154,-112.172957,580.0,95% or more,1
2204,9/15/2019 7:00,9/16/2019,32.205351,-110.70088,891.0,Less than 5%,0
3147,6/23/2021 7:00,6/25/2020,32.227708,-110.900486,773.0,,0
3164,7/20/2021 7:00,7/20/2021,32.366709,-111.114398,646.0,75-94%,1
2201,9/7/2019 7:00,9/12/2019,32.2086,-110.792227,843.0,95% or more,1
3001,7/20/2020 7:00,7/20/2020,32.24948,-110.944466,740.0,Less than 5%,0
2199,9/10/2019 7:00,9/10/2019,32.165555,-110.723861,950.0,Less than 5%,0
3149,6/30/2021 7:00,6/30/2021,32.216219,-110.982425,711.0,,0
3172,7/23/2021 7:00,7/23/2021,32.265941,-111.175265,1084.0,50-74%,1
2153,7/10/2019 7:00,7/10/2019,32.225557,-110.953864,735.0,Less than 5%,0
3083,10/13/2020 7:00,6/27/2020,32.367561,-111.114666,648.0,5-24%,0
3199,9/21/2021 7:00,9/21/2021,32.36729,-111.113815,645.0,95% or more,1
3045,9/1/2020 7:00,9/1/2020,32.200163,-110.80857,818.0,75-94%,1
3071,9/14/2020 7:00,6/27/2020,32.367561,-111.114666,648.0,95% or more,1
3029,8/19/2020 7:00,8/19/2020,32.206019,-110.785609,854.0,5-24%,0
3042,8/19/2020 7:00,8/31/2020,32.255959,-110.891334,748.0,75-94%,1
2187,8/25/2019 7:00,8/26/2019,32.212854,-111.006204,946.0,25-49%,0
2163,8/3/2019 7:00,8/3/2019,32.162943,-110.919423,785.0,,0
3006,7/25/2020 7:00,7/27/2020,32.249379,-110.944546,741.0,5-24%,0
3182,8/30/2021 7:00,8/30/2021,32.257368,-110.996966,706.0,95% or more,1
2992,7/13/2020 7:00,7/13/2020,32.249468,-110.944588,740.0,Less than 5%,0
3066,9/9/2020 7:00,9/9/2020,32.205579,-110.784805,854.0,25-49%,0
3202,9/28/2021 7:00,6/30/2021,32.235228,-110.986108,709.0,50-74%,1
3218,11/28/2021 7:00,11/28/2021,32.235053,-111.002037,711.0,25-49%,0
3205,9/28/2021 7:00,9/28/2021,32.22026,-110.98275,717.0,95% or more,1
3188,8/30/2021 7:00,8/30/2021,32.207392,-110.987203,722.0,95% or more,1
3171,7/22/2021 7:00,7/22/2021,32.223414,-110.847241,787.0,95% or more,1
3173,7/26/2021 7:00,7/26/2021,32.367329,-111.11065,644.0,95% or more,1
3056,9/6/2020 7:00,9/6/2020,32.193569,-110.749374,912.0,,0
3019,8/3/2020 7:00,8/6/2020,32.249379,-110.944546,741.0,25-49%,0
3060,9/6/2020 7:00,9/6/2020,32.191543,-110.761992,896.0,25-49%,0
3035,8/25/2020 7:00,8/25/2020,32.209868,-110.790419,840.0,75-94%,1
3063,9/8/2020 7:00,9/8/2020,32.165507,-110.723956,950.0,,0
2203,9/12/2019 7:00,9/12/2019,32.250696,-111.181037,946.0,5-24%,0
2188,8/29/2019 7:00,8/29/2019,32.29228,-110.733001,838.0,95% or more,1
3181,8/23/2021 7:00,8/24/2021,32.367031,-111.11368,645.0,95% or more,1
3160,7/19/2021 7:00,7/20/2021,32.218628,-111.039157,798.0,95% or more,1
3174,7/27/2021 7:00,7/27/2021,32.202553,-110.988865,720.0,95% or more,1
3008,7/27/2020 7:00,6/27/2020,32.367561,-111.114666,648.0,Less than 5%,0
3210,10/11/2021 7:00,10/11/2021,32.367109,-111.113671,645.0,75-94%,1
3041,8/21/2020 7:00,8/25/2020,32.249379,-110.944546,741.0,5-24%,0
2154,7/3/2019 7:00,7/10/2019,32.180766,-110.842864,827.0,75-94%,1
3168,7/22/2021 7:00,7/22/2021,32.127621,-110.789683,878.0,95% or more,1
3165,7/20/2021 7:00,7/20/2021,32.2212,-111.021038,744.0,95% or more,1
3197,9/10/2021 7:00,9/10/2021,32.205107,-110.997432,736.0,95% or more,1
3039,8/25/2020 7:00,8/25/2020,32.209564,-110.79774,834.0,50-74%,1
3162,7/20/2021 7:00,7/20/2021,32.221434,-111.020618,746.0,95% or more,1
3184,8/30/2021 7:00,8/30/2021,32.230563,-110.985478,713.0,95% or more,1
